sigla,nome,preco,data_da_leitura
BTC-USD ,Bitcoin USD ,"101,437.47",2024-12-11 20:31:10
ETH-USD ,Ethereum USD ,"3,828.17",2024-12-11 20:31:10
USDT-USD ,Tether USDt USD ,1.0010,2024-12-11 20:31:10
XRP-USD ,XRP USD ,2.4234,2024-12-11 20:31:10
SOL-USD ,Solana USD ,230.42,2024-12-11 20:31:10
BNB-USD ,BNB USD ,708.08,2024-12-11 20:31:10
DOGE-USD ,Dogecoin USD ,0.416880,2024-12-11 20:31:10
USDC-USD ,USD Coin USD ,0.999988,2024-12-11 20:31:10
ADA-USD ,Cardano USD ,1.0853,2024-12-11 20:31:10
STETH-USD ,Lido Staked ETH USD ,"3,825.43",2024-12-11 20:31:10
WTRX-USD ,Wrapped TRON USD ,0.281207,2024-12-11 20:31:10
TRX-USD ,TRON USD ,0.281341,2024-12-11 20:31:10
AVAX-USD ,Avalanche USD ,47.93,2024-12-11 20:31:10
SHIB-USD ,Shiba Inu USD ,0.000029,2024-12-11 20:31:10
WSTETH-USD ,Lido wstETH USD ,"4,488.16",2024-12-11 20:31:10
TON11419-USD ,Toncoin USD ,6.3000,2024-12-11 20:31:10
LINK-USD ,Chainlink USD ,23.89,2024-12-11 20:31:10
DOT-USD ,Polkadot USD ,9.0605,2024-12-11 20:31:10
WBTC-USD ,Wrapped Bitcoin USD ,"100,756.54",2024-12-11 20:31:10
XLM-USD ,Stellar USD ,0.433063,2024-12-11 20:31:10
WETH-USD ,WETH USD ,"3,809.17",2024-12-11 20:31:10
SUI20947-USD ,Sui USD ,4.3278,2024-12-11 20:31:10
HBAR-USD ,Hedera USD ,0.298628,2024-12-11 20:31:10
BCH-USD ,Bitcoin Cash USD ,544.58,2024-12-11 20:31:10
PEPE24478-USD ,Pepe USD ,0.000025,2024-12-11 20:31:10
